,Time (s),Filtered Strain
405692,1187008881.4458008,4.762663366811197e-21
405693,1187008881.446045,3.843635835363091e-21
405694,1187008881.446289,3.860728922901383e-21
405695,1187008881.4465332,4.750320771072915e-21
405696,1187008881.446777,5.962523534527986e-21
405697,1187008881.4470215,6.76899355706069e-21
405698,1187008881.4472656,6.670258634273747e-21
405699,1187008881.4475098,5.6736930959656505e-21
405700,1187008881.447754,4.285864802607409e-21
405703,1187008881.4484863,3.666279210159918e-21
405704,1187008881.4487305,4.7194247333821115e-21
405705,1187008881.4489746,5.45068150295038e-21
405706,1187008881.4492188,5.314640781599081e-21
405707,1187008881.449463,4.249710003664857e-21
405713,1187008881.4509275,3.631765004705365e-21
405714,1187008881.451172,3.734356500659788e-21
405733,1187008881.4558103,-3.678645409776413e-21
405734,1187008881.4560547,-4.556653171923916e-21
405735,1187008881.4562988,-4.4494143653786656e-21
405736,1187008881.456543,-3.529617466341997e-21
405741,1187008881.4577637,-4.8345180177294085e-21
405742,1187008881.4580078,-5.8207513724660515e-21
405743,1187008881.458252,-5.8768093795964236e-21
405744,1187008881.458496,-5.052268464778883e-21
405745,1187008881.4587402,-3.8763198847511265e-21
405748,1187008881.459473,-3.941886630555219e-21
405749,1187008881.4597168,-5.1613045419228905e-21
405750,1187008881.459961,-6.0519514422615815e-21
405751,1187008881.460205,-6.119000751968971e-21
405752,1187008881.4604492,-5.339140809563249e-21
405753,1187008881.4606934,-4.172875974835047e-21
405756,1187008881.4614258,-4.039673402519269e-21
405757,1187008881.46167,-5.257310697170043e-21
405758,1187008881.461914,-6.200428681768613e-21
405759,1187008881.4621582,-6.316050218436332e-21
405760,1187008881.4624023,-5.502835665144178e-21
405761,1187008881.4626465,-4.171234079988832e-21
405765,1187008881.463623,-4.3383711893775256e-21
405766,1187008881.4638672,-5.387149497631071e-21
405767,1187008881.464111,-5.7213262240829266e-21
405768,1187008881.4643557,-5.118676843838926e-21
405769,1187008881.4645996,-3.874137510591895e-21
405774,1187008881.4658203,-4.0416531844144445e-21
405775,1187008881.4660645,-4.324111371454254e-21
405776,1187008881.4663086,-3.7080033599745086e-21
405803,1187008881.4729004,3.887156148511068e-21
405804,1187008881.4731443,4.264315413149749e-21
405805,1187008881.473389,3.77627109718489e-21
405811,1187008881.4748535,4.585194676770325e-21
405812,1187008881.4750977,5.237752986011094e-21
405813,1187008881.4753418,5.038492536931056e-21
405814,1187008881.475586,4.1708668330514205e-21
405818,1187008881.4765625,3.639952473667543e-21
405819,1187008881.4768066,4.617128613803447e-21
405820,1187008881.4770508,5.181282889212031e-21
405821,1187008881.477295,5.010324076326085e-21
405822,1187008881.477539,4.199957411633296e-21
405827,1187008881.4787598,4.344150450978109e-21
